Source,Target
2,1
3,1
13,2
13,1
3,4
5,8
8,1
6,1
6,2
6,13
7,2
7,13
8,1
8,2
8,9
9,12
12,1
11,1
10,1
9,1
14,1
14,2
14,6
14,13
15,1
15,3
15,16
16,3
16,1
13,9
17,1
